nombre aplicativo
CITRIX
USUARIO STC
USUARIO ATIS
USUARIO GESTEL
CODIGO VDD STC Y/O CUM
CODIGO VDD ATIS 
CODIGO VDD CMS
PORTAL DE CANALES
WEB CONTRATOS
PORTABILIDAD
USUARIOS CMS
FENIX
WEB UNIFICADA
WEB URBANO (PARA JEFES)
ANGEL PLUS
WEB SRM
CLUB MOVISTAR
WEB MOVISTAR UNO
SPEEDY SIG
WEB PREVENCION
GESTOR WEB
CONTADOR WEB
INFODOC RECLAMOS
WEB DE RECIBOS
ISIS
CALCULADORA ARPU
RED
CORREO (MC PROPIOS)
INTERNET
FELIX
RENIEC
MULTIGESTION
AULA 365
WEB MAC (PARA JEFES)
WEB DE SEGUIMIENTO
DELIVERY
K&L (RETAIL)
CODIGO VDD STC
CODIGO VDD CUM
CODIGO VDD ATIS
ONBASE
USUARIO CMS
JTELLER
ACTIVADOR AG14
